,,,,,
,,,,,
GISP2 Ice Core,,,Siple Dome Ice Core,,
Mid Depth Below Surface (m),Methane Concentration (ppb),Meese/Sowers Gas Age (ka),Mid Depth Below Surface (m),Methane Concentration (ppb),"Gas Age (ka) (Brook et al., 2005)"
1407.05,650.7,8.14,505.96,635.0,7.96
1408.05,629.1,8.15,507.15,636.4,8.00899
1408.81,616.8,8.15,507.44,633.6,8.02077
1409.70,611.6,8.16,508.74,635.9,8.07455
1410.10,626.8,8.16,508.91,634.4,8.0817
1410.60,615.9,8.17,509.49,634.2,8.10496
1411.21,617.2,8.17,510.31,630.2,8.13539
1411.25,611.3,8.17,510.78,630.6,8.15259
1411.60,611.0,8.18,511.08,630.6,8.16369
1412.10,603.9,8.18,511.36,632.4,8.17423
1412.60,603.8,8.19,511.46,628.6,8.17793
1413.10,589.0,8.19,511.87,623.1,8.1929
1413.25,605.6,8.19,512.68,584.1,8.22297
1413.73,585.6,8.20,512.77,581.8,8.2263
1414.10,591.4,8.20,512.98,579.1,8.2342
1414.60,589.4,8.20,513.28,582.8,8.24598
1415.30,602.0,8.21,513.45,579.8,8.25266
1415.65,610.1,8.21,513.75,572.3,8.26475
1416.10,620.8,8.22,514.08,570.3,8.2774
1416.25,625.4,8.22,514.34,566.1,8.28784
1416.60,629.5,8.22,514.44,562.9,8.29157
1417.10,642.7,8.23,514.76,583.2,8.30414
1417.60,643.7,8.23,515.11,590.1,8.31784
1418.10,651.7,8.24,515.35,600.4,8.32742
1418.60,663.5,8.25,515.47,612.6,8.33217
1419.10,664.7,8.25,515.82,630.3,8.34584
1419.60,674.3,8.26,516.27,630.1,8.36359
1420.10,663.8,8.26,516.54,626.8,8.37399
1420.65,659.6,8.27,516.79,629.6,8.38304
1421.08,668.8,8.27,517.15,632.6,8.39406
1421.60,663.7,8.28,517.25,636.7,8.3971
1422.10,661.5,8.29,517.66,637.3,8.40942
1422.60,669.8,8.29,517.90,641.9,8.41687
1423.09,673.4,8.30,518.23,631.6,8.42691
1423.60,673.8,8.30,518.68,623.5,8.44054
1424.34,672.7,8.31,519.86,633.9,8.47659
1424.80,669.3,8.32,520.18,642.2,8.48643
1426.05,672.8,8.33,520.40,637.9,8.49317
1426.15,673.3,8.33,520.68,638.1,8.50211
1428.05,662.0,8.35,521.05,640.4,8.51371
1430.05,665.6,8.37,522.56,639.3,8.5609
1432.05,671.6,8.38,523.05,627.7,8.57642
1432.80,677.6,8.39,524.04,635.1,8.6072
1436.38,669.9,8.43,525.25,651.1,8.64442
1438.05,687.8,8.44,526.03,647.7,8.66858
1442.05,673.7,8.48,527.15,648.6,8.70306
1442.15,675.9,8.49,528.37,670.5,8.74061
1446.05,677.3,8.52,529.44,652.9,8.77516
1448.05,690.9,8.54,530.35,669.3,8.80452
1450.05,691.4,8.56,531.15,665.9,8.83032
1452.05,711.1,8.58,532.40,652.7,8.87051
1453.70,682.2,8.59,532.98,661.0,8.88791
1456.05,706.3,8.62,534.05,657.8,8.92027
1458.05,715.6,8.64,535.14,671.1,8.95293
1460.05,703.9,8.66,536.15,673.6,8.98344
1460.15,701.1,8.66,537.20,678.4,9.01484
1470.90,690.4,8.77,538.17,664.3,9.04415
1475.20,697.5,8.81,539.36,669.5,9.07991
1481.35,719.0,8.87,540.15,671.9,9.10365
1492.72,703.8,8.98,541.17,666.6,9.13436
1495.20,704.2,9.01,550.56,674.1,9.41351
1502.05,716.3,9.08,555.84,676.5,9.56701
1512.70,717.7,9.19,560.58,694.1,9.71443
1521.17,719.6,9.28,565.30,690.2,9.86398
1529.70,727.5,9.38,570.66,704.4,10.03274
1534.10,724.7,9.43,575.15,685.7,10.17002
1538.05,714.3,9.47,580.33,708.2,10.3258
1546.70,735.7,9.57,582.39,714.0,10.38399
1555.05,741.5,9.67,585.26,709.9,10.47171
1564.90,735.4,9.78,586.28,718.8,10.50084
1573.05,748.7,9.88,586.35,716.4,10.50314
1581.30,742.1,9.98,589.35,699.8,10.59322
1589.17,754.8,10.07,592.25,694.7,10.69408
1595.22,728.7,10.15,595.42,679.5,10.79361
1597.30,739.6,10.17,598.39,675.2,10.89318
1602.10,725.1,10.23,,,
1606.15,762.1,10.29,,,
1608.20,744.9,10.31,,,
1614.70,758.3,10.40,,,
1621.19,747.8,10.48,,,
1628.32,750.7,10.57,,,
1629.70,756.3,10.59,,,
1635.20,757.8,10.67,,,
1635.95,754.5,10.68,,,
1644.90,729.5,10.81,,,
1651.20,720.0,10.90,,,
1655.27,740.6,10.96,,,
1657.90,728.3,11.01,,,
1662.22,738.7,11.07,,,
1663.95,735.4,11.11,,,
1668.33,739.6,11.17,,,
1669.70,741.6,11.19,,,
1674.95,756.7,11.27,,,
1685.21,726.0,11.50,,,
1686.17,740.5,11.53,,,
1688.32,741.2,11.58,,,
1691.35,765.8,11.64,,,
1695.35,775.8,11.71,,,
